replicate,seed,success,cost,nfev,Kcool_times_Kp,Kcool_times_Ki,independent_validation_rmse_C,C_th_J_K,K_cool_W_K,K_node_W_K,Kp_1_K,Ki_1_Ks,heat_a0_W,heat_a1_W_A,heat_a2_W_A2
69,20300784,True,52243.779525255464,26,4.037797155957527,0.06887352067908488,0.4010569243917802,7373.089981128432,36.606542471306774,10.769693449720112,0.11030260940711527,0.001881453861234501,3.6856156904026895,14.704940502995393,0.9438862158331743
70,20300785,True,51797.12568540904,23,3.5627327198067316,0.07435122129147498,0.3274315771522541,6727.759749324026,38.34604313868254,11.149193055481332,0.09291004829159896,0.0019389541972447038,6.161197087736042,15.446923045601274,0.6708874309954591
71,20300786,True,50466.26657214911,21,3.5542954358823424,0.07436747722103891,0.3253441018739498,6726.624195331026,38.326717109707054,11.187868459522646,0.0927367566000622,0.0019403560447968492,5.426758692094374,15.340833575860426,0.6656892872247476
72,20300787,True,57987.54939282859,35,3.501149240995927,0.08197983429003837,0.31158966356629214,6914.065522175838,38.53058966294374,10.744947678116441,0.09086674436137968,0.0021276558445426893,7.356278289032697,15.692434638390932,0.6851046081059335
73,20300788,True,53721.96489677231,35,4.499064188905303,0.07117403704277568,0.34270367257003215,7023.6212104822935,41.6127227300005,10.756817371781736,0.10811751535935242,0.0017103912547270811,2.3086014468139875,15.4661319911118,0.7249705274544018
74,20300789,True,58806.8814901027,40,3.5505165200191495,0.0713346226946682,0.3520963247609344,6991.682322022948,37.82450670176715,10.606049317158508,0.09386815135525008,0.0018859366298446787,7.464650160561733,15.8571672346143,0.7213722233391626
75,20300790,True,58586.57177478179,34,3.6846260648680786,0.081490340449221,0.31642647768194077,6877.209117414302,39.19461655134048,10.71378184825046,0.09400847333310784,0.002079120747168886,5.721250735258534,15.69700912961563,0.6985932251608039
76,20300791,True,46194.044912856014,29,3.538276712720508,0.07400839312428201,0.32888323273477055,6732.7016189034275,38.22693402806412,11.151675311908928,0.09255978285161189,0.0019360274373547484,6.168524671996327,15.45328552262124,0.6716093364081264
77,20300792,True,42615.38044692573,30,3.591855528446652,0.07429637370683219,0.3278902902862845,6763.375130888682,38.413203943544765,11.072357871432985,0.09350575218160768,0.001934136340619343,6.416515666458094,15.479216669360692,0.6723273073515733
78,20300793,True,59909.768649815014,34,3.851625417028762,0.07440584065166782,0.33157513426885477,6902.710791259346,39.130130788937294,10.659420345174125,0.09843119200914292,0.0019014973666457442,7.747542278046868,15.788162481634076,0.6960473137017426
79,20300794,True,66393.32966682731,26,4.065735127951733,0.06574907031944932,0.3767913805577575,7363.749465766646,36.59389056572614,10.786973585704091,0.11110420524019665,0.001796722603226833,6.134550061127164,16.22362634671433,0.7466679424472054
80,20300795,True,60878.75553186634,22,3.587299053806346,0.07455263840713648,0.3266269111419858,6728.421231354688,38.44653593114718,11.138551010979423,0.09330617094426241,0.0019391249849050301,6.132725990616258,15.445451064754067,0.6709238309229807
81,20300796,True,57022.52204740916,29,6.024003690598247,0.060121040003422534,0.3490649925888536,6874.657090104759,47.58008555625237,11.120104418448184,0.126607668316953,0.0012635757019046005,36.727662382532,15.552789002676459,0.48746601308324095
82,20300797,True,52496.025759088705,19,4.11786648450094,0.07803019445907515,0.466083879786394,8228.68877413432,41.075374798767285,12.584621338323768,0.10025146464700115,0.0018996830787632135,3.229200756611972e-08,14.307614532887346,1.344275573682012
83,20300798,True,34222.45189409952,22,3.3437005187495745,0.07456521789394051,0.33125009557134805,6717.705141165065,37.56491129924691,11.231211471469507,0.08901127150582698,0.0019849698911823433,6.4849703644859735,15.593884027907457,0.6809489853028918
84,20300799,True,51971.842295191986,39,3.77345475280929,0.07413982272367987,0.3243804410764378,6820.903690230215,38.87468024732949,10.95407686881491,0.09706715859273231,0.0019071493900910716,9.011487048821703,15.524681051142423,0.6632120828127914
85,20300800,True,59340.13431151903,9,3.416835349101097,0.06871505754879512,0.3177012216117109,7271.615153512762,36.76366390591356,10.708227204738145,0.09294055559439188,0.0018691025389812157,1.6523606569151302e-07,22.174568978854595,0.32316492394739016
86,20300801,True,65336.495169314876,32,3.87928245047296,0.07991421456030644,0.31524709937076106,6938.383226278011,39.780713349477004,10.548669736141614,0.09751666382634039,0.002008868314106214,9.025086325279057,15.83960357091898,0.6881781524775595
87,20300802,True,53917.20509613204,26,3.9864291251587542,0.062326338048087744,0.4126991549431062,7693.67558336789,35.4628278200762,10.697808057114216,0.11241148465046995,0.0017575117913412304,11.808739011601745,16.566089044021318,0.7960342723096612
88,20300803,True,62015.20044338139,29,5.164072812370048,0.06575971380821069,0.35717662085674057,7430.999188628982,44.34868588170381,10.793790736045532,0.1164425215697429,0.0014827883284663473,11.166428343466817,16.17052349524971,0.7112444498292878
89,20300804,True,65243.99339086824,25,3.9059933225401657,0.08641530108012486,0.2993705549521545,7127.0538594192785,39.73284304773385,10.757256229284165,0.09830641411307069,0.0021749085756664357,12.831194976302276,16.263619174382438,0.6628723420553407
90,20300805,True,54169.65567220104,28,3.0989429835299256,0.06648386985160629,0.38596289264242617,6913.055784382294,35.96803602531372,11.24072358797558,0.08615824843338513,0.0018484153486950472,2.5435444344731515,15.734358674094803,0.7252962454856103
91,20300806,True,64225.1918641981,34,4.462406416833503,0.08067111362449875,0.3514331569576205,7947.424360980348,40.87905941511229,10.417937822670686,0.10916118131582618,0.0019734092412771126,0.26530835341582665,17.938056562707626,0.8350213711191018
92,20300807,True,53702.65469176581,26,3.4954916215461838,0.08057561742239415,0.33403977170198407,7694.489034062815,38.85689546399094,10.70778232880952,0.08995807770555138,0.0020736504154600915,13.416084381559603,16.56874178723173,0.7368089148844809
93,20300808,True,50281.75367109948,23,3.55003893769528,0.07420952201653894,0.328038965364262,6725.786052417188,38.290625206039174,11.158340562628622,0.09271300530071705,0.0019380598153522616,6.097826409456358,15.446216233122291,0.6712669272877977
94,20300809,True,75095.00320768236,23,4.287589275869128,0.08083435670871857,0.3300418215691323,7571.160021435112,40.26692704067562,10.296658290181778,0.10647917760245329,0.002007462765337513,17.613038595696874,17.043313994491093,0.7493823311106041
