time_s,three_node_mean_C,five_node_mean_C,three_node_hotspot_C,five_node_hotspot_C,five_node_energy_residual_W
104.0,55.14105593143719,55.13398285482617,55.16156262709587,55.19752834888733,2.1387336346379016e-12
105.0,55.135852108319455,55.12878934488166,55.16381532157537,55.19911888193694,2.4513724383723456e-13
106.0,55.130684987071184,55.123632494617844,55.166038039127855,55.20067448830151,-8.775202786637237e-13
107.0,55.12557509187523,55.118532827583145,55.168251199556465,55.20221576264863,2.7000623958883807e-13
108.0,55.12057479628529,55.11354271693409,55.17050725300437,55.20379532597096,1.1546319456101628e-12
109.0,55.115683607385755,55.10866166997545,55.172806232374136,55.20541337590701,4.366285111245816e-12
110.0,55.1108491594033,55.103837321182695,55.17509630791312,55.207018242968076,-9.876544027065393e-13
111.0,55.10605753349669,55.099055751390004,55.17736367316961,55.208596279270154,-3.8546943414985435e-12
112.0,55.10127513454378,55.09428336501232,55.1795747388681,55.210114051803366,4.597211500367848e-12
113.0,55.09647335786303,55.08949155653947,55.1817006344759,55.21154284535614,5.3859139370615594e-12
114.0,55.09179183744542,55.0848199587924,55.183880495471904,55.213021950352285,6.679101716144942e-13
115.0,55.08716875778419,55.0802067566908,55.186053171829165,55.21449036417837,7.101874643922201e-12
116.0,55.08260781549182,55.075655646597696,55.18822252682201,55.21595209600016,-4.227729277772596e-13
117.0,55.07805667553782,55.07111429329666,55.19033643191239,55.21735516025259,-4.440892098500626e-13
118.0,55.073623118927536,55.06669047701776,55.19250245052238,55.21880726280073,-4.1318060084449826e-12
119.0,55.0692690620374,55.062346114586376,55.19468317779295,55.22027113519604,6.075140390748857e-13
120.0,55.064963875556344,55.058050576740015,55.19684836233945,55.22171666000404,5.9188209888816345e-12
121.0,55.060783788090134,55.05388009179906,55.19907436841328,55.22322033360993,-2.568611989772762e-12
122.0,55.05660658150189,55.04971244221851,55.20123974935747,55.2246608362992,-6.075140390748857e-13
123.0,55.05243910003799,55.045554471496324,55.20335112909101,55.226044919524384,7.538858426414663e-12
124.0,55.048401080918175,55.041525916174464,55.20552808433264,55.227492286253316,-4.739320047519868e-12
125.0,55.04441222299162,55.03754647576774,55.20769114048119,55.22892358272953,2.0818902157770935e-12
126.0,55.04051164053447,55.03365526434918,55.20987959403059,55.23037822503325,1.929123527588672e-12
127.0,55.0367284631378,55.02988141175009,55.21212308427813,55.23188596873629,-5.208278253121534e-12
128.0,55.03296378867237,55.026126016427305,55.21432346745521,55.233348782512614,9.485745522397337e-13
129.0,55.029327649079754,55.02249910983461,55.216590738521376,55.23487677324658,-6.8833827526759706e-12
130.0,55.02573067898397,55.01891132733041,55.21883639723922,55.23638154824228,1.7621459846850485e-12
131.0,55.02222979829495,55.01541958859914,55.22111751368772,55.23792028392115,1.0546230555519287e-11
132.0,55.0187174140446,55.011916301084774,55.223327114216545,55.23938610988413,5.453415496958769e-12
133.0,55.015235891500076,55.008443829306394,55.2255073188647,55.24082124933733,-2.509992214072554e-12
