time_s,current_A,true_T1_C,EKF_T1_C,true_T2_C,EKF_T2_C,true_T3_C,EKF_T3_C,true_T4_C,EKF_T4_C,true_T5_C,EKF_T5_C,true_hotspot_C,EKF_hotspot_C
990.0,24.00139664804482,55.46838534983904,55.13577312207395,55.35622199484725,55.24156155295636,55.245275949205435,54.986555929756115,55.13432990395269,54.967557969075244,55.022166549590466,54.58367906218888,55.46838534983904,55.24156155295636
991.0,24.002707854091486,55.475888801627626,55.1413624947881,55.35674718587111,55.23281735356968,55.23732415119671,54.97484739151865,55.11790111690307,54.943724873053576,54.99875950176264,54.55467068352384,55.475888801627626,55.23281735356968
992.0,24.00572132763733,55.48335029091736,55.14408962133587,55.35733395856539,55.218327806876395,55.22949060287213,54.96545384081514,55.10164724755149,54.935458890965506,54.97563091580245,54.53235962337935,55.48335029091736,55.218327806876395
993.0,24.00942623676041,55.490779038160824,55.15692153940907,55.357989297296704,55.22905099677953,55.22178277280435,54.96170457334788,55.08557624867666,54.92493991922037,54.95278650840257,54.509083268764684,55.490779038160824,55.22905099677953
994.0,24.010814121523254,55.49818000134804,55.171493737062654,55.35871596806951,55.243772102163554,55.214203845379714,54.95864036233,55.06969172304678,54.912289248312014,54.93022769034567,54.48520544538487,55.49818000134804,55.243772102163554
995.0,24.007513618898486,55.50554612726492,55.182616574965294,55.35950477968739,55.249943555784895,55.20674499574814,54.95427115846284,55.05398521215812,54.90193572487537,54.907943865145654,54.4627253954503,55.50554612726492,55.249943555784895
996.0,24.00034570725596,55.51286117411013,55.19115173204811,55.360337438160826,55.249418824352915,55.19938827982677,54.9457512002956,55.038439121834486,54.88076315834974,54.88591538643817,54.43623941210153,55.51286117411013,55.249418824352915
997.0,23.98634107704117,55.52011251912844,55.21123716022897,55.36119937771845,55.2773741496702,55.19211949270686,54.944782907400636,55.02303960802974,54.86196877934774,54.86412646716092,54.4103809411287,55.52011251912844,55.2773741496702
998.0,23.965471194924167,55.527276168320114,55.21565856987733,55.36206475745302,55.26706333822339,55.18491315649217,54.93728708313463,55.00776155585865,54.85384016077607,54.842550145521166,54.389740084372875,55.527276168320114,55.26706333822339
999.0,23.934516808227507,55.53432864111468,55.22517853014477,55.362908375397694,55.26889211069995,55.17774446756141,54.92707618027813,54.992580560045454,54.82266272507462,54.82116029484677,54.359721342945896,55.53432864111468,55.26889211069995
1000.0,23.89122393134319,55.54123444246139,55.23870085822563,55.36369313627381,55.281566131116705,55.170576764089574,54.923858987605215,54.97746039221883,54.80974444437823,54.79991908653849,54.336965353411905,55.54123444246139,55.281566131116705
1001.0,23.837556645348428,55.512997823074166,55.19840646192189,55.34689804374845,55.24508626866934,55.16336575402734,54.91739521373818,54.97983346461302,54.832348371970724,54.81373368578371,54.36280990732874,55.512997823074166,55.24508626866934
1002.0,23.774542518769568,55.484926177998474,55.16809804106043,55.33004436224183,55.23155787919198,55.156076375512164,54.90863146016378,54.98210838908274,54.82284807148885,54.8272265738119,54.37498936091403,55.484926177998474,55.23155787919198
1003.0,23.7033529664553,55.45698725657385,55.14343853042225,55.31310554253644,55.232108462657656,55.148678851812136,54.90936337985828,54.98425216138166,54.838525144734795,54.84037044781969,54.39671775245712,55.45698725657385,55.232108462657656
1004.0,23.628572195960594,55.429154775693156,55.10925571312993,55.29606069942479,55.208779883618156,55.14114910431374,54.90670805811111,54.98623750949025,54.86341655253264,54.85314343368717,54.42244776523963,55.429154775693156,55.208779883618156
1005.0,23.55193956074063,55.40142153818992,55.0765342919952,55.278907756875284,55.187764030081134,55.13348191065898,54.89911665964237,54.9880560647241,54.86564767515295,54.86554228386482,54.4387594585996,55.40142153818992,55.187764030081134
