config_id,fan_weight,hotspot_weight,gradient_weight,dwell,switch_weight,maximum_duty_step,duty_move_weight,controller,maximum_hotspot_C,maximum_hotspot_excess_C,hotspot_excess_rmse_C,gradient_rmse_C,fan_energy_proxy_duty2_h,direction_switch_count,mean_temperature_tracking_rmse_C,maximum_energy_residual_W,reference_unattainable_at_saturation_fraction,energy_relative_difference_percent,within_5pct_equal_energy
625,10.0,1.0,0.2,10.0,4.0,0.05,0.8,Hotspot-MPC,58.7804380183242,3.7804380183241975,1.0592208172920177,1.381377743537451,0.005347222222222223,6,1.006689489733019,1.2221335055073723e-12,0.0,11.64567417634017,False
626,10.0,1.0,0.2,10.0,10.0,0.05,0.8,Hotspot-MPC,57.601219769997144,2.6012197699971438,0.6700453427449868,1.9308103809709196,0.00551388888888889,2,0.930498108722983,1.0942358130705543e-12,0.0,15.125539345472871,False
627,10.0,1.0,0.2,10.0,30.0,0.05,0.8,Hotspot-MPC,56.344319167389415,1.3443191673894148,0.2631865092741801,2.564737997173413,0.005597222222222224,0,1.1316458583193936,1.2008172234345693e-12,0.0,16.86547193003922,False
628,10.0,1.0,0.2,30.0,1.0,0.05,0.8,Hotspot-MPC,58.09600110632738,3.0960011063273782,1.013594762202577,0.766914599290771,0.005604166666666667,15,0.7959628746465571,9.094947017729282e-13,0.0,17.01046631208638,False
629,10.0,1.0,0.2,30.0,4.0,0.05,0.8,Hotspot-MPC,58.7804380183242,3.7804380183241975,1.0592208172920177,1.381377743537451,0.005347222222222223,6,1.006689489733019,1.2221335055073723e-12,0.0,11.64567417634017,False
630,10.0,1.0,0.2,30.0,10.0,0.05,0.8,Hotspot-MPC,57.601219769997144,2.6012197699971438,0.6700453427449868,1.9308103809709196,0.00551388888888889,2,0.930498108722983,1.0942358130705543e-12,0.0,15.125539345472871,False
631,10.0,1.0,0.2,30.0,30.0,0.05,0.8,Hotspot-MPC,56.344319167389415,1.3443191673894148,0.2631865092741801,2.564737997173413,0.005597222222222224,0,1.1316458583193936,1.2008172234345693e-12,0.0,16.86547193003922,False
632,10.0,1.0,0.2,60.0,1.0,0.05,0.8,Hotspot-MPC,58.13885900225712,3.138859002257121,0.9506858680080364,0.7791545677620649,0.005687500000000001,14,0.7566564499975579,9.947598300641403e-13,0.0,18.750398896652733,False
633,10.0,1.0,0.2,60.0,4.0,0.05,0.8,Hotspot-MPC,58.7804380183242,3.7804380183241975,1.0592208172920177,1.381377743537451,0.005347222222222223,6,1.006689489733019,1.2221335055073723e-12,0.0,11.64567417634017,False
634,10.0,1.0,0.2,60.0,10.0,0.05,0.8,Hotspot-MPC,57.601219769997144,2.6012197699971438,0.6700453427449868,1.9308103809709196,0.00551388888888889,2,0.930498108722983,1.0942358130705543e-12,0.0,15.125539345472871,False
635,10.0,1.0,0.2,60.0,30.0,0.05,0.8,Hotspot-MPC,56.344319167389415,1.3443191673894148,0.2631865092741801,2.564737997173413,0.005597222222222224,0,1.1316458583193936,1.2008172234345693e-12,0.0,16.86547193003922,False
636,10.0,1.0,0.5,10.0,1.0,0.05,0.8,Hotspot-MPC,59.487326488584664,4.487326488584664,1.4031694111221547,0.7010392094738176,0.005486111111111112,21,1.1762819385493326,1.2505552149377763e-12,0.0,14.545561817284081,False
