scenario,sensor_count,sensor_nodes_1_based,node_1_rmse_C,node_2_rmse_C,node_3_rmse_C,node_4_rmse_C,node_5_rmse_C,mean_node_rmse_C,hotspot_rmse_C,hotspot_position_accuracy,maximum_absolute_error_C,q95_absolute_error_C
cooling_minus_15pct,2,"1,2",0.05799069491357847,0.05637559646022084,0.3689790095139269,0.6131772213516148,0.7375658501536577,0.4610154717863727,0.6222263427341529,0.5503746877601998,1.379781219490262,1.066475104970904
cooling_minus_15pct,2,"4,5",0.7447722402209063,0.6199953227559681,0.37432145147562507,0.05678614554167998,0.05562299266222681,0.46594313445225183,0.6297604671123489,0.5362198168193172,1.3495423718368613,1.081070459027879
cooling_minus_15pct,3,"1,3,5",0.05943936843379726,0.113094367198438,0.05401750638703722,0.11411845259475534,0.05721781428874308,0.08430677897144444,0.07602912274152811,0.5678601165695254,0.4196607586193508,0.18217230318154237
cooling_minus_15pct,3,"1,2,5",0.0579972536134235,0.05403369290363075,0.19139905680509695,0.1925201267436691,0.05831597864805469,0.12913688311900912,0.12153168009502716,0.36969192339716905,0.4077411514764435,0.31910442584456433
cooling_minus_15pct,3,"1,4,5",0.060663109956345544,0.19437119153816462,0.19410657900764625,0.0541815468637942,0.05562896601117864,0.13051264988775574,0.12207119145107381,0.37385512073272276,0.414102386947782,0.3169528622055168
cooling_minus_15pct,3,"2,4,5",0.18892086683314963,0.05527015056272224,0.10736187009729882,0.05294980927726714,0.05563203217771922,0.1059915656321064,0.13386716285526812,0.8126561199000832,0.6198326303407242,0.21785129682646842
cooling_minus_15pct,3,"1,2,4",0.05800047448577597,0.05306382101024028,0.10979217719881923,0.0558926478719078,0.1890589201955486,0.1068657192054391,0.1372513691490334,0.8068276436303081,0.4432513749353433,0.22710994410140872
cooling_minus_15pct,3,"2,3,5",0.1970737196512674,0.053817621701316355,0.052277281755982466,0.11806913029241134,0.05725366437298912,0.11107259174315508,0.1403112041355575,0.7310574521232306,0.6492075620593241,0.23578522942924848
cooling_minus_15pct,3,"1,3,4",0.05945808546250988,0.1168433144136833,0.052512412128250766,0.05451134793881636,0.19675439472475803,0.11102158022220888,0.1453375799613863,0.7268942547876769,0.4531097055983011,0.24354017416586662
cooling_minus_15pct,3,"2,3,4",0.1972153469398292,0.0538183583043719,0.05078893758673729,0.054511409227558885,0.19692485977691462,0.13124078563807548,0.18167437488716429,0.9342214820982515,0.6494803220766769,0.3073782505582159
