time_s,experiment_T1_C,experiment_T2_C,experiment_T3_C,paper_simulation_T1_C,paper_simulation_T2_C,paper_simulation_T3_C,reference_C
941.0,54.09495184840012,55.14237340789065,56.314196955576264,54.10584226762162,55.002341098022086,56.22163513916987,54.98760944450618
942.0,54.28117427772601,55.14237340789065,56.01724137931034,54.1056141939096,54.99957074002753,56.22284440074313,54.99047912774292
943.0,54.34812053432743,55.14237340789065,56.01018949984467,54.10541273591788,54.99695600820985,56.22400782893083,54.994814290086985
944.0,54.36160298229264,55.193041317179244,56.01014290152221,54.10521754663904,54.99471560384064,56.22511766441411,55.000299172045736
945.0,54.36160298229264,55.230894687791235,55.98974836905872,54.10481040701016,54.99268631891466,56.22616614787409,55.005842982539484
946.0,54.36160298229264,55.230894687791235,55.949394221808014,54.104535595182284,54.99094777598091,56.2271455199919,55.010338108280436
947.0,54.34030754892824,55.230894687791235,55.949394221808014,54.10442218975261,54.989630113267445,56.22795461746969,55.01291685713282
948.0,54.04137931034481,55.18303821062441,55.949394221808014,54.10447019072118,54.9885703143959,56.22865161320908,55.013030497847126
949.0,54.04137931034481,54.82388940664803,56.083814849332086,54.10467959808797,54.98776837936629,56.2292270829361,55.00972474765595
950.0,54.04137931034481,54.793414103758934,56.083814849332086,54.10456224388753,54.98710633197607,56.22967160237681,55.007985909710214
951.0,54.09464119291705,54.742078285181734,56.083814849332086,54.104422183469765,54.986744282785814,56.22997574725731,55.007310505586545
952.0,54.09464119291705,54.742078285181734,56.01553277415346,54.104279327184074,54.986714399983896,56.23013009330365,55.0075672127398
953.0,54.115610438024234,54.742078285181734,56.002174588381486,54.104124250756506,54.986966177315566,56.23012521624189,55.00790502342244
954.0,54.19384902143523,54.75601118359739,56.002174588381486,54.10394752991315,54.98749757285483,56.22995169179809,55.008541179231
955.0,54.22180801491146,54.906663560111824,56.002174588381486,54.10373974038006,54.98830654467565,56.22960009569835,55.008869214041795
956.0,54.262441752096926,54.906663560111824,56.06790928859895,54.10361482162908,54.98939105085202,56.229061003668726,55.00858060858078
957.0,54.264352283317805,54.906663560111824,56.120969245107176,54.10388160711699,54.99074904945792,56.228563788400294,55.006845391328326
958.0,54.264352283317805,54.82385834109972,56.341099720410064,54.104246750610514,54.99234214914277,56.22805265033786,55.00557832971643
959.0,54.264352283317805,54.82385834109972,56.344998446722585,54.10471025210965,54.99424605824049,56.22754539978842,55.00470385987644
960.0,54.25570052811432,54.82385834109972,56.365144454799626,54.1052721116144,54.99616720590595,56.227037905778566,55.00634041323714
961.0,54.229263746505126,54.83452935694315,56.38703013358186,54.105932329124755,54.99847333044943,56.22652603733489,55.00878601051032
962.0,54.18667287977632,54.83452935694315,56.3977322149736,54.106690904640715,55.001050379307785,56.226005663483996,55.01031216893303
963.0,53.979123951537744,54.83452935694315,56.492311276794034,54.107547838162304,55.003895415248984,56.2256403707728,55.01142261920922
964.0,53.979123951537744,54.805529667598634,56.492311276794034,54.108503129689495,55.005863505222905,56.22541870399634,55.01091400640917
