curve,duty_ratio_percent,data_value
corotation_mass_flow_kg_s,6.936813186813187,5.8271604938271607e-05
corotation_mass_flow_kg_s,7.0054945054945055,5.85578815530506e-05
corotation_mass_flow_kg_s,7.074175824175824,5.88441581678297e-05
corotation_mass_flow_kg_s,7.142857142857143,5.913043478260869e-05
corotation_mass_flow_kg_s,7.211538461538462,5.874396135265703e-05
corotation_mass_flow_kg_s,7.28021978021978,5.913043478260869e-05
corotation_mass_flow_kg_s,7.3489010989010985,5.913043478260869e-05
corotation_mass_flow_kg_s,7.417582417582418,5.913043478260869e-05
corotation_mass_flow_kg_s,7.486263736263736,5.9516908212560405e-05
corotation_mass_flow_kg_s,7.554945054945055,5.9903381642512066e-05
corotation_mass_flow_kg_s,7.623626373626373,6.028985507246378e-05
corotation_mass_flow_kg_s,7.6923076923076925,6.067632850241544e-05
corotation_mass_flow_kg_s,7.760989010989011,6.067632850241544e-05
corotation_mass_flow_kg_s,7.829670329670329,6.106280193236716e-05
corotation_mass_flow_kg_s,7.898351648351649,6.067632850241544e-05
corotation_mass_flow_kg_s,7.967032967032967,6.106280193236716e-05
corotation_mass_flow_kg_s,8.035714285714286,6.183574879227053e-05
corotation_mass_flow_kg_s,8.104395604395604,6.183574879227053e-05
corotation_mass_flow_kg_s,8.173076923076923,6.183574879227053e-05
corotation_mass_flow_kg_s,8.241758241758241,6.222222222222225e-05
corotation_mass_flow_kg_s,8.31043956043956,6.260869565217391e-05
corotation_mass_flow_kg_s,8.37912087912088,6.299516908212562e-05
corotation_mass_flow_kg_s,8.447802197802197,6.338164251207728e-05
corotation_mass_flow_kg_s,8.516483516483516,6.338164251207728e-05
corotation_mass_flow_kg_s,8.585164835164836,6.3768115942029e-05
corotation_mass_flow_kg_s,8.653846153846153,6.3768115942029e-05
corotation_mass_flow_kg_s,8.722527472527473,6.3768115942029e-05
corotation_mass_flow_kg_s,8.791208791208792,6.338164251207728e-05
corotation_mass_flow_kg_s,8.85989010989011,6.366791912685633e-05
corotation_mass_flow_kg_s,8.928571428571429,6.395419574163538e-05
corotation_mass_flow_kg_s,8.997252747252746,6.424047235641437e-05
corotation_mass_flow_kg_s,9.065934065934066,6.452674897119341e-05
corotation_mass_flow_kg_s,9.134615384615385,6.481302558597246e-05
corotation_mass_flow_kg_s,9.203296703296703,6.50993022007515e-05
corotation_mass_flow_kg_s,9.271978021978022,6.538557881553055e-05
corotation_mass_flow_kg_s,9.340659340659341,6.567185543030954e-05
