velocity_m_s,flow_coordinate_inlet_0_outlet_1,temperature_K,direct_pixel_count,palette_uncertainty_K
5.0,0.28515625,327.2105649303008,638,1.5
5.0,0.2890625,327.2105649303008,632,1.5
5.0,0.29296875,327.2105649303008,631,1.5
5.0,0.296875,327.2105649303008,632,1.5
5.0,0.30078125,327.43140132061626,632,1.5
5.0,0.3046875,327.6522377109318,631,1.5
5.0,0.30859375,327.6522377109318,630,1.5
5.0,0.3125,327.6522377109318,631,1.5
5.0,0.31640625,327.77842993396916,635,1.5
5.0,0.3203125,327.77842993396916,635,1.5
5.0,0.32421875,327.87307410124725,635,1.5
5.0,0.328125,327.87307410124725,634,1.5
5.0,0.33203125,327.87307410124725,639,1.5
5.0,0.3359375,327.87307410124725,640,1.5
5.0,0.33984375,327.87307410124725,640,1.5
5.0,0.34375,328.0939104915627,640,1.5
5.0,0.34765625,328.0939104915627,640,1.5
5.0,0.3515625,328.0939104915627,638,1.5
5.0,0.35546875,328.0939104915627,643,1.5
5.0,0.359375,328.22010271460016,643,1.5
5.0,0.36328125,328.22010271460016,648,1.5
5.0,0.3671875,328.22010271460016,647,1.5
5.0,0.37109375,328.22010271460016,643,1.5
5.0,0.375,328.22010271460016,643,1.5
5.0,0.37890625,328.3147468818782,648,1.5
5.0,0.3828125,328.56713132795306,649,1.5
5.0,0.38671875,328.56713132795306,648,1.5
5.0,0.390625,328.56713132795306,651,1.5
5.0,0.39453125,328.56713132795306,653,1.5
5.0,0.3984375,328.56713132795306,655,1.5
5.0,0.40234375,328.6617754952311,655,1.5
5.0,0.40625,328.6617754952311,658,1.5
5.0,0.41015625,328.6617754952311,650,1.5
5.0,0.4140625,328.7721936903888,654,1.5
5.0,0.41796875,328.88261188554657,654,1.5
5.0,0.421875,328.88261188554657,657,1.5
5.0,0.42578125,328.94570799706526,654,1.5
5.0,0.4296875,329.008804108584,656,1.5
5.0,0.43359375,329.008804108584,662,1.5
5.0,0.4375,329.1034482758621,660,1.5
5.0,0.44140625,329.1034482758621,663,1.5
5.0,0.4453125,329.32428466617756,661,1.5
5.0,0.44921875,329.32428466617756,663,1.5
5.0,0.453125,329.32428466617756,664,1.5
5.0,0.45703125,329.32428466617756,670,1.5
5.0,0.4609375,329.32428466617756,669,1.5
5.0,0.46484375,329.32428466617756,670,1.5
5.0,0.46875,329.32428466617756,673,1.5
5.0,0.47265625,329.67131327953047,665,1.5
5.0,0.4765625,329.67131327953047,667,1.5
5.0,0.48046875,329.67131327953047,670,1.5
5.0,0.484375,329.67131327953047,671,1.5
5.0,0.48828125,329.67131327953047,673,1.5
