duty_ratio_percent,corotation_mass_flow_kg_s,reversion_mass_flow_kg_s
21.497252747252748,9.97101449275362e-05,5.8357487922705315e-05
21.56593406593407,0.00010019323671497588,5.835748792270532e-05
21.634615384615387,0.00010067632850241547,5.8512077294686e-05
21.703296703296704,0.00010115942028985508,5.8666666666666665e-05
21.771978021978025,0.00010164251207729467,5.88212560386474e-05
21.840659340659343,0.00010164251207729467,5.897584541062802e-05
21.90934065934066,0.00010164251207729467,5.913043478260869e-05
21.978021978021978,0.00010164251207729467,5.9285024154589366e-05
22.0467032967033,0.00010164251207729468,5.943961352657005e-05
22.115384615384617,0.00010202898550724639,5.9594202898550716e-05
22.184065934065934,0.00010202898550724639,5.974879227053139e-05
22.252747252747255,0.0001024154589371981,5.9903381642512066e-05
22.321428571428573,0.0001024154589371981,5.9903381642512066e-05
22.39010989010989,0.00010280193236714976,6.028985507246378e-05
22.45879120879121,0.00010318840579710142,6.028985507246378e-05
22.52747252747253,0.00010318840579710142,6.028985507246378e-05
22.596153846153847,0.00010318840579710142,6.028985507246378e-05
22.664835164835168,0.00010357487922705314,6.02898550724638e-05
22.733516483516485,0.00010357487922705315,6.067632850241544e-05
22.802197802197803,0.00010396135265700485,6.067632850241544e-05
22.870879120879124,0.00010434782608695657,6.067632850241544e-05
22.93956043956044,0.00010434782608695657,6.067632850241544e-05
23.00824175824176,0.00010434782608695657,6.067632850241544e-05
23.07692307692308,0.00010473429951690817,6.0830917874396123e-05
23.145604395604398,0.00010473429951690817,6.09855072463768e-05
23.214285714285715,0.00010473429951690817,6.114009661835752e-05
23.282967032967036,0.00010512077294685989,6.129468599033821e-05
23.351648351648354,0.00010512077294685989,6.144927536231888e-05
23.42032967032967,0.00010512077294685989,6.160386473429949e-05
23.489010989010993,0.0001051207729468599,6.175845410628018e-05
23.55769230769231,0.00010540184453227933,6.191304347826091e-05
23.626373626373628,0.00010568291611769875,6.206763285024157e-05
23.69505494505495,0.00010596398770311813,6.222222222222225e-05
23.763736263736266,0.00010624505928853756,6.222222222222225e-05
23.832417582417584,0.00010652613087395698,6.222222222222225e-05
23.9010989010989,0.00010680720245937635,6.222222222222225e-05
23.969780219780223,0.0001070882740447958,6.222222222222225e-05
24.03846153846154,0.00010736934563021521,6.222222222222225e-05
24.107142857142858,0.00010765041721563459,6.222222222222225e-05
24.17582417582418,0.00010793148880105403,6.260869565217391e-05
24.244505494505496,0.00010821256038647346,6.260869565217392e-05
24.313186813186814,0.00010849363197189282,6.299516908212562e-05
24.381868131868135,0.00010877470355731232,6.299516908212564e-05
24.450549450549453,0.00010905577514273169,6.338164251207727e-05
24.51923076923077,0.00010933684672815105,6.299516908212562e-05
24.58791208791209,0.0001096179183135705,6.338164251207728e-05
24.65659340659341,0.00010989898989898992,6.338164251207728e-05
24.725274725274726,0.00011018006148440934,6.338164251207728e-05
24.793956043956047,0.00011046113306982878,6.33816425120773e-05
24.862637362637365,0.00011074220465524816,6.3768115942029e-05
24.931318681318682,0.00011102327624066752,6.3768115942029e-05
25.000000000000004,0.00011130434782608695,6.415458937198066e-05
25.06868131868132,0.00011130434782608695,6.415458937198067e-05
25.13736263736264,0.00011130434782608695,6.454106280193237e-05
25.20604395604396,0.00011130434782608695,6.454106280193239e-05
25.274725274725277,0.00011130434782608695,6.492753623188409e-05
25.343406593406595,0.00011130434782608695,6.492753623188409e-05
25.412087912087916,0.00011169082125603865,6.492753623188409e-05
25.480769230769234,0.00011130434782608695,6.492753623188409e-05
25.54945054945055,0.00011130434782608695,6.492753623188409e-05
25.61813186813187,0.00011169082125603866,6.570048309178741e-05
25.68681318681319,0.00011207729468599039,6.531400966183574e-05
25.755494505494507,0.00011246376811594204,6.492753623188409e-05
25.824175824175825,0.00011246376811594204,6.608695652173912e-05
25.892857142857146,0.0001116908212560387,6.57004830917874e-05
25.961538461538463,0.00011246376811594204,6.531400966183575e-05
26.03021978021978,0.00011246376811594204,6.531400966183575e-05
26.098901098901102,0.00011169082125603866,6.531400966183575e-05
26.16758241758242,0.00011169082125603866,6.531400966183575e-05
26.236263736263737,0.00011169082125603866,6.531400966183575e-05
26.30494505494506,0.00011169082125603868,6.531400966183575e-05
26.373626373626376,0.00011207729468599038,6.531400966183576e-05
26.442307692307693,0.00011207729468599038,6.570048309178741e-05
26.510989010989015,0.00011246376811594204,6.570048309178741e-05
26.579670329670332,0.00011246376811594205,6.570048309178742e-05
26.64835164835165,0.0001128502415458937,6.608695652173912e-05
26.71703296703297,0.00011323671497584541,6.608695652173912e-05
26.78571428571429,0.00011323671497584541,6.608695652173912e-05
26.854395604395606,0.00011323671497584541,6.608695652173912e-05
26.923076923076927,0.00011323671497584541,6.608695652173912e-05
26.991758241758244,0.00011323671497584543,6.608695652173912e-05
27.060439560439562,0.00011362318840579713,6.608695652173912e-05
27.129120879120883,0.00011362318840579713,6.620289855072467e-05
27.1978021978022,0.00011362318840579713,6.631884057971016e-05
27.266483516483518,0.00011362318840579713,6.64347826086956e-05
27.335164835164836,0.00011362318840579713,6.65507246376812e-05
27.403846153846157,0.00011377777777777782,6.666666666666664e-05
27.472527472527474,0.00011393236714975849,6.678260869565219e-05
27.541208791208792,0.00011408695652173915,6.689855072463768e-05
27.609890109890113,0.00011424154589371984,6.701449275362323e-05
27.67857142857143,0.00011439613526570046,6.713043478260872e-05
27.747252747252748,0.00011455072463768112,6.724637681159416e-05
27.81593406593407,0.00011470531400966181,6.685990338164255e-05
27.884615384615387,0.00011485990338164254,6.685990338164255e-05
27.953296703296704,0.0001150144927536232,6.685990338164255e-05
28.021978021978025,0.00011516908212560389,6.724637681159416e-05
28.090659340659343,0.00011532367149758457,6.724637681159416e-05
28.15934065934066,0.00011547826086956523,6.724637681159416e-05
28.22802197802198,0.00011563285024154597,6.724637681159417e-05
28.2967032967033,0.00011578743961352659,6.763285024154588e-05
28.365384615384617,0.00011594202898550725,6.763285024154588e-05
28.434065934065938,0.00011609661835748789,6.763285024154588e-05
28.502747252747255,0.00011625120772946856,6.763285024154588e-05
28.571428571428573,0.00011640579710144928,6.763285024154588e-05
28.640109890109894,0.00011656038647342997,6.763285024154588e-05
28.70879120879121,0.00011671497584541064,6.763285024154589e-05
28.77747252747253,0.0001168695652173913,6.801932367149759e-05
28.84615384615385,0.000117024154589372,6.801932367149759e-05
28.914835164835168,0.00011717874396135272,6.801932367149759e-05
28.983516483516485,0.0001173333333333334,6.801932367149759e-05
29.052197802197803,0.00011748792270531406,6.801932367149759e-05
29.120879120879124,0.0001176425120772947,6.801932367149759e-05
