scenario,sensor_count,sensor_nodes_1_based,node_1_rmse_C,node_2_rmse_C,node_3_rmse_C,node_4_rmse_C,node_5_rmse_C,mean_node_rmse_C,hotspot_rmse_C,maximum_absolute_error_C,q95_absolute_error_C,hotspot_position_accuracy
combined_mismatch,3,"1,2,4",0.055175916454682825,0.05613074266092903,0.11851588166539007,0.05853093909516433,0.21140955782727283,0.11692812168789096,0.07846467020202136,0.5152476100299097,0.24416512512346744,0.4904246461282265
combined_mismatch,3,"1,3,4",0.056544405910919596,0.12123200744865563,0.053196750830795565,0.05659689021624114,0.2213804337848218,0.12077820019664856,0.08116769176491882,0.5327269581323719,0.26297068530415546,0.48959200666111574
combined_mismatch,3,"2,3,4",0.2129754609629841,0.05765787158498033,0.051681570901917336,0.05659782650207242,0.22154154761747163,0.14397078396987265,0.09180196487064435,0.5331869725317233,0.34831346194668955,0.17318900915903415
combined_mismatch,3,"3,4,5",0.47664558327284035,0.31777107533013016,0.05571185237698327,0.05287651396923743,0.05402780413700591,0.2596105576492042,0.1023027630321909,1.0301860438695627,0.6159962493392442,0.4687760199833472
combined_mismatch,3,"1,2,3",0.05517689718985131,0.054443186122143335,0.056223827405076775,0.32796769021105354,0.49160965070684015,0.2677358861853154,0.12935500570287728,0.9946217796583667,0.6373150967872067,0.39217318900915904
conduction_plus_20pct,1,4,0.066231392118707,0.05304938803511037,0.04375420001762393,0.050893703760747554,0.03680286034605268,0.05110750337123047,0.04708674410764312,0.43686028453840464,0.10225563693080063,0.9192339716902581
conduction_plus_20pct,1,5,0.06453079606415645,0.04296700671004216,0.02311114652499933,0.027110588327645718,0.053472251232007106,0.04503060748265452,0.04859204204508262,0.29999999999999716,0.09608814051943569,0.9267277268942548
conduction_plus_20pct,1,2,0.05892415598957236,0.051282814170318866,0.031545950872020084,0.04926195116953641,0.06969729430416041,0.05363130218646824,0.06107524156803549,0.6008528413787388,0.11202833345928553,0.906744379683597
conduction_plus_20pct,1,3,0.061461481530407445,0.03738280006020755,0.049550142937316285,0.050733640367869565,0.06305463867672488,0.05325409625745459,0.06466437420881435,0.45819783073658726,0.10585837735356307,0.9159034138218152
conduction_plus_20pct,1,1,0.05547830732340026,0.02914980874630881,0.024495137031265803,0.04351412918051294,0.06339319563607743,0.04569407480820437,0.0667722687803685,0.36805931571378636,0.09600232226658535,0.925895087427144
conduction_plus_20pct,2,"2,4",0.05122344919231554,0.05114078193510749,0.034510041404214854,0.050675965964749194,0.03899875856036923,0.04586746336461821,0.040603752624085374,0.606088306813831,0.08523757186426338,0.8925895087427144
conduction_plus_20pct,2,"2,5",0.05832647980777083,0.05118137304498513,0.02316973565748007,0.0246891431554612,0.05337372892710212,0.044758589283641154,0.041686548850155894,0.6040482082084324,0.08776060667388777,0.8859283930058285
conduction_plus_20pct,2,"3,5",0.050466319114608804,0.03137333608502002,0.049380244564293824,0.032286828094370223,0.053263132140160846,0.04438230424186259,0.042711801882533616,0.3975362631995054,0.09019900938900492,0.9125728559533722
conduction_plus_20pct,2,"3,4",0.042744326145879495,0.030759074082210392,0.04909090276076468,0.050350718591458746,0.04516326377361206,0.04417698506527625,0.045965701862241276,0.44792418281062396,0.08483925129851289,0.9134054954204829
conduction_plus_20pct,2,"4,5",0.06428786936776933,0.05187565266864394,0.04549179459382639,0.05011310533424646,0.05271549853245702,0.05326117530580565,0.04721598566242015,0.35320734344909255,0.09866942024408729,0.8642797668609492
conduction_plus_20pct,2,"1,4",0.05540016610128116,0.031054577057523253,0.034905159897672226,0.0507704434801384,0.03767189922945808,0.043008709049395154,0.05094702647260386,0.4368219258748596,0.08846696201424749,0.8850957535387177
conduction_plus_20pct,2,"1,5",0.055418292953676215,0.02734554684855967,0.01572820329987822,0.025508529671937848,0.05341962611000703,0.03891191088894407,0.0524242801328393,0.36934895885440966,0.08635083576108259,0.8950874271440467
conduction_plus_20pct,2,"2,3",0.062016108628222995,0.05064166675551258,0.048873643557571456,0.04682565108523463,0.054735941013516344,0.052892105297383966,0.05597257882277729,0.6521675652724142,0.0929886497936849,0.890924229808493
conduction_plus_20pct,2,"1,2",0.05492329566194517,0.05094672722931101,0.03355467566626858,0.03572251986589803,0.05885844109650637,0.047913397280293396,0.06352443063065175,0.3821256436693048,0.09702379120809326,0.8659450457951707
conduction_plus_20pct,2,"1,3",0.05523637221333916,0.026233478657220186,0.04938113300962003,0.04793825557307465,0.05705898189802726,0.048438728880291625,0.06538589333869689,0.477694844503354,0.0949234446927463,0.8984179850124896
conduction_plus_20pct,3,"3,4,5",0.04277253056698813,0.030763729782602438,0.04909049556441716,0.049303373369097486,0.05271516203485145,0.045597114228719,0.04057356744330698,0.29999999999999716,0.09120790916085046,0.8534554537885096
conduction_plus_20pct,3,"2,4,5",0.05143600478267224,0.05114080915141474,0.035958565594801165,0.04979245461783957,0.05271544241453732,0.048605081615259386,0.04113532866602503,0.6168812105907477,0.09112159379448033,0.829308909242298
conduction_plus_20pct,3,"2,3,5",0.06200071823583694,0.050641717531937795,0.04858525858588114,0.033405458163858384,0.053253658070252785,0.05044021550549095,0.04179376560469033,0.6521374500042967,0.09300620009380794,0.8642797668609492
conduction_plus_20pct,3,"2,3,4",0.06194628930089665,0.05064233469117806,0.04820063877686737,0.050350534066105616,0.045163771993171724,0.05157563956174465,0.046807948752843595,0.6523783640119589,0.09124579203380564,0.8742714404662781
conduction_plus_20pct,3,"1,2,4",0.054923239025573986,0.05073060959419093,0.042226208289737686,0.05068532874856278,0.039008271747807924,0.04788289343071818,0.05122890359376322,0.43840746534859676,0.09269646474156731,0.8368026644462948
conduction_plus_20pct,3,"1,2,5",0.05492327073447749,0.05080519604069911,0.03184737388694935,0.023890335663385283,0.05336166949413841,0.044788848490919256,0.05192909812628964,0.3621336420700132,0.09303644306301066,0.8434637801831807
conduction_plus_20pct,3,"1,3,5",0.05522749558345892,0.02672532972716967,0.04913654154851495,0.03274767127418245,0.05326159378337721,0.044917539066656915,0.05193937299945414,0.42228517095156803,0.092920379592438,0.8734388009991674
conduction_plus_20pct,3,"1,4,5",0.05538647276131954,0.03090868237985674,0.03724662344754596,0.04993868418349694,0.052715424237748165,0.04622360241302565,0.051961747715637,0.38650218548610127,0.09440739708538791,0.8334721065778518
conduction_plus_20pct,3,"1,3,4",0.055208905579031915,0.028345686066745708,0.048812040973096785,0.05035105689392099,0.045160204551078935,0.04649470835099067,0.05605826494803132,0.44795677618039775,0.09197860956344642,0.8709408825978351
conduction_plus_20pct,3,"1,2,3",0.05492301983994445,0.0501829230261792,0.04887343749927916,0.046784089265626584,0.05468457609395706,0.05119107468255809,0.06376301228003156,0.49132777187069365,0.09747106451073508,0.8476269775187344
cooling_minus_15pct,1,4,0.7949865460017224,0.6604568720830752,0.39445130017453217,0.06076004107606559,0.15600741526266465,0.5003656288402293,0.18048086732256177,1.483929556966423,1.19219727412482,0.28975853455453787
cooling_minus_15pct,1,3,0.4420815913190088,0.28760243109063865,0.058663915032248264,0.30814534000784016,0.47199495643014927,0.34621540582225674,0.18728983997137602,0.914858227645496,0.7589561468296168,0.13238967527060783
cooling_minus_15pct,1,2,0.15180544578683788,0.05852950807771846,0.4125614264154863,0.6953193968268362,0.8399819514139142,0.5264439703438731,0.2075840700427809,1.515341549153149,1.1811424152443153,0.29558701082431305
cooling_minus_15pct,1,5,1.07419466244445,0.9720706606084784,0.7631444505514648,0.4424008291117834,0.06041211087601079,0.7590221487132949,0.2108747125052088,1.9620375687246536,1.7003412663583717,0.5462114904246461
cooling_minus_15pct,1,1,0.05651355371864653,0.454627681600546,0.7905346456162002,1.014483049064339,1.1264863365964577,0.7915772179551801,0.24173585083202834,1.9542500180040463,1.693438897601638,0.5037468776019983
cooling_minus_15pct,2,"1,5",0.05401148870165848,0.2775234039243124,0.36706844733279415,0.27759568024297926,0.058191650398005015,0.24294911217389564,0.05356882301191419,0.7400071600902507,0.5395338974321575,0.9142381348875936
cooling_minus_15pct,2,"2,5",0.19064787951396409,0.05608413782085473,0.19625300989807473,0.20202812008368584,0.05725828272723033,0.15626974154823003,0.0733511373456066,0.5671286532102968,0.3651916682834412,0.5745212323064113
cooling_minus_15pct,2,"1,4",0.05304560362575092,0.20160755147458098,0.19610729897272253,0.058634957225575275,0.19104342277928796,0.15611096129487104,0.07882410553623101,0.526934573656554,0.35509443938107954,0.5803497085761865
cooling_minus_15pct,2,"2,4",0.2041996730178867,0.05502481392231232,0.10549775027685712,0.057635710212486056,0.2045091863383204,0.14212733326825952,0.09257735985112008,0.5724006688427892,0.3303868716846609,0.21149042464612822
cooling_minus_15pct,2,"3,5",0.4899958895377924,0.3248192834938965,0.05595491565758901,0.1078143952958757,0.05613942826164498,0.26963311017685815,0.1200873901844726,0.9827931803923207,0.6142608021679724,0.5220649458784347
cooling_minus_15pct,2,"3,4",0.4949421772098306,0.32974902111977017,0.054434010597241234,0.05637431149477688,0.20923768555520128,0.2841209986162099,0.13001983354346083,0.993590376757858,0.6228419299121755,0.17069109075770192
cooling_minus_15pct,2,"1,3",0.05181384581751765,0.10600861786811233,0.05609229835333788,0.3352498960166979,0.5051031946693291,0.2773411536932944,0.1434904738259767,0.9766627580252418,0.6276296495358072,0.4870940882597835
cooling_minus_15pct,2,"2,3",0.21143602441550688,0.05372308720387478,0.05456395781948699,0.3374298967122186,0.5068482537891633,0.29028354261880557,0.1448730130780986,0.9901121696932051,0.6370363041403783,0.13488759367194006
cooling_minus_15pct,2,"4,5",0.7904491953760829,0.658694404756986,0.39713241637514096,0.05831413717344216,0.054738892425232354,0.4945299364857579,0.16072567709726776,1.4821070753410908,1.1939143661897702,0.48376353039134057
cooling_minus_15pct,2,"1,2",0.05050093495167475,0.05608590339108458,0.40775633567492,0.6809653155035401,0.8210592056677816,0.511822856543916,0.19065547488034273,1.5131145163229576,1.181030024976501,0.4279766860949209
cooling_minus_15pct,3,"1,2,5",0.05049913477932636,0.05354620845914485,0.20752478774650676,0.20809523353204665,0.057318151697336034,0.13789335975006142,0.049010876860550924,0.4571704967401189,0.3428623043324649,0.8284762697751873
cooling_minus_15pct,3,"1,4,5",0.05312899222170556,0.20860473910691762,0.2078469333297114,0.05606989161257756,0.05473750786810027,0.1383322104211317,0.04925694414158639,0.5278815379016422,0.34244948385302953,0.8384679433805162
cooling_minus_15pct,3,"1,3,5",0.05195814861292813,0.11878627611205261,0.05308580409773794,0.11995498619851094,0.05627601127026771,0.0862370214640227,0.05042551612842205,0.3706029310463066,0.19108396535174,0.8667776852622814
cooling_minus_15pct,3,"2,3,5",0.2116257342900428,0.05372673338614473,0.051632846629375714,0.12300286328923873,0.05630894018706391,0.11716515289755722,0.06882563636970691,0.639895093473811,0.24684838159985537,0.5104079933388843
cooling_minus_15pct,3,"2,4,5",0.20229554345940456,0.055117408733135496,0.1140074732676045,0.05507364526768506,0.05473945238798714,0.11223959520656021,0.07010327454189764,0.599905800310701,0.23955004167231386,0.4870940882597835
cooling_minus_15pct,3,"1,3,4",0.05199923931371973,0.12247097326120454,0.05160804501446524,0.05637712995116403,0.20941593062374816,0.1161032844251257,0.07483207526178952,0.5115914999140614,0.26174014096314413,0.5262281432139884
cooling_minus_15pct,3,"1,2,4",0.050501096715561196,0.05247877113077487,0.11549131635079164,0.05774438902032436,0.20365672598372628,0.11265265451204463,0.07692818680523864,0.49209279847558207,0.256045293522287,0.47960033305578686
cooling_minus_15pct,3,"2,3,4",0.21183267157379415,0.053728216448238435,0.050239914370965796,0.05637829731462203,0.20962790350654936,0.1395752279750592,0.08794763567061309,0.6398536300940094,0.3408251897938655,0.17735220649458786
cooling_minus_15pct,3,"3,4,5",0.49506479924509134,0.3299275340325152,0.05443813759679064,0.0538138399284094,0.05474107206701269,0.26936865382900527,0.1149279882666339,0.9937310802166337,0.6231226036977588,0.4521232306411324
cooling_minus_15pct,3,"1,2,3",0.05050290686515318,0.05124400842348976,0.0545677218099166,0.3375879545065196,0.5069409751492031,0.27535755213096386,0.13488082367310797,0.9903229675283782,0.6351080448699408,0.42131557035803496
load_input_minus_10pct,1,3,0.33378308077615376,0.2225595356661199,0.06076699612751031,0.21125103363147923,0.3161044860142191,0.24867069189407193,0.3254300574827934,0.6089489051132375,0.5248588452199442,0.9250624479600333
load_input_minus_10pct,1,2,0.10762857956201083,0.0610684843244503,0.27785134206587603,0.4591793058585768,0.5521540174531424,0.34877910864111106,0.4566215398549682,0.9883961788650169,0.7963072823032192,0.6644462947543713
load_input_minus_10pct,1,4,0.5795067379819467,0.4801097656026981,0.28609880585116254,0.05475137199272578,0.10359700563955102,0.3638450289383057,0.47967477544880704,0.9865153554127915,0.8008757644025508,0.6211490424646128
load_input_minus_10pct,1,1,0.05854917398026792,0.3079537698100238,0.5290904062622402,0.6740476684532815,0.7452787854526457,0.5268739726928621,0.6389921578300731,1.290101804941152,1.1433038236468165,0.5220649458784347
load_input_minus_10pct,1,5,0.7761257247318815,0.6985654959194108,0.5440814755864427,0.3174595172942951,0.057322803800914875,0.5459772877533217,0.6681059712464552,1.2915257843516983,1.1462822613714565,0.5253955037468776
