scenario,time_s,probability_nominal,probability_capacity_plus_12pct,probability_cooling_minus_15pct,probability_conduction_plus_20pct,probability_combined_mismatch,probability_load_input_minus_10pct
capacity_plus_12pct,749.0,0.16677492415248282,0.06559490047442593,0.00015491886205251535,0.7672307832279808,0.00014447361807934923,9.999966497866431e-05
capacity_plus_12pct,750.0,0.16717269547061644,0.06592321369495396,0.0001953304513690485,0.7664309319065828,0.0001778301529562211,9.99983235213492e-05
capacity_plus_12pct,751.0,0.166705423220881,0.06726689107780034,0.00015026276127924325,0.7656111742981572,0.00014495256952353836,0.00012129607235861664
capacity_plus_12pct,752.0,0.16670560724625574,0.06760093435770943,0.00014492917650123972,0.7652843155693302,0.00014139141859287186,0.00012282223161047776
capacity_plus_12pct,753.0,0.16622617319721678,0.06706872140611293,0.0001372991155958212,0.766308563142667,0.00013483689713879605,0.0001244062412686114
capacity_plus_12pct,754.0,0.16585133765150184,0.06685079990157733,0.0001140320377520875,0.7669296540240771,0.00011479063131171195,0.00013938575377998963
capacity_plus_12pct,755.0,0.16543723920655898,0.0662498180034184,0.00012677541167431148,0.7679347892751891,0.00012591038278798771,0.00012546772037132415
capacity_plus_12pct,756.0,0.16472444425236837,0.06458446140037473,0.00013689330051009382,0.7703078119731501,0.00013290867764046826,0.00011348039595623692
capacity_plus_12pct,757.0,0.16438304933979433,0.0641607921316179,0.00011831156508377703,0.7710979796495225,0.00011677932736979374,0.00012308798661177437
capacity_plus_12pct,758.0,0.1641429100821624,0.06391675586982798,0.00011523321644244632,0.7715881685295028,0.00011424611817090541,0.00012268618389348415
capacity_plus_12pct,759.0,0.1639919224636997,0.06478779473190004,0.00012636180789223837,0.7708536235342862,0.00012618319391405363,0.0001141142683075647
capacity_plus_12pct,760.0,0.16389462998619694,0.06514376397432776,0.00010869428505711303,0.770615797339021,0.00011138335441017065,0.00012573106098700675
capacity_plus_12pct,761.0,0.164043547089284,0.06584226939275019,0.00010415024523986338,0.7697729247651622,0.00010840808884318672,0.00012870041872060383
capacity_plus_12pct,762.0,0.16329812334047109,0.06458492051029197,0.00011129787573960199,0.7717734712200506,0.00011413101784220765,0.00011805603560451655
capacity_plus_12pct,763.0,0.1632043774877467,0.06478014997601902,0.00010906112851157815,0.7716756260383686,0.00011280509377921247,0.00011798027557500465
capacity_plus_12pct,764.0,0.1625967539762688,0.06342883964849004,0.00010746476928700363,0.7736421980918159,0.00011012010763166184,0.00011462340650662024
capacity_plus_12pct,765.0,0.1623202021032961,0.06310556431210843,0.00011674232899806813,0.7742335239643388,0.00011859055637578498,0.0001053767348828512
capacity_plus_12pct,766.0,0.16248473437080205,0.06168755033453795,0.00012645642399397057,0.775476790953221,0.00012446838046789615,9.99995369770696e-05
capacity_plus_12pct,767.0,0.16172652044204816,0.06264901535507561,9.999851629015065e-05,0.7752969627984482,9.999851629015065e-05,0.00012750437184784423
capacity_plus_12pct,768.0,0.16132531133027164,0.06242076324831449,0.00011221698828185678,0.7759158802694743,0.00011118266048566541,0.00011464550317196991
capacity_plus_12pct,769.0,0.16154473495979144,0.06312648426602781,9.9997068972322e-05,0.7749880435866177,9.9997068972322e-05,0.00014074304961840076
capacity_plus_12pct,770.0,0.16138189545475423,0.06355419052192388,0.00010002675628124585,0.7747236891308277,0.00010110826998778467,0.0001390898662253176
capacity_plus_12pct,771.0,0.16052376830110746,0.06165269377345518,0.00011689054470759128,0.7774742671604414,0.00011416384546102111,0.0001182163748271386
capacity_plus_12pct,772.0,0.16057386198759713,0.06303154264337207,0.00010663811404582982,0.7760533721142878,0.00010769801038247485,0.0001268871303146966
capacity_plus_12pct,773.0,0.16072761258075285,0.06319196989128412,9.999853193468369e-05,0.7757405155576494,9.999853193468369e-05,0.0001399049064441408
capacity_plus_12pct,774.0,0.16027346535603976,0.06312123658337405,0.00010990485671029693,0.7762578295417338,0.00010949108703149296,0.00012807257511050893
capacity_plus_12pct,775.0,0.1598139794628141,0.06296290758525973,0.00012753034390635307,0.7768573991729408,0.00012565344335757072,0.00011252999172141963
capacity_plus_12pct,776.0,0.15946745078799449,0.062038746719420106,0.0001119738651104202,0.7781510861102526,0.00011103577490059185,0.00011970674232189348
capacity_plus_12pct,777.0,0.15950236073720606,0.06284907368107018,0.00011099638692608315,0.7773059850493165,0.0001117552606730645,0.00011982888480823862
capacity_plus_12pct,778.0,0.1587113033680857,0.060530990650820585,0.00013180726257057656,0.7803988576230244,0.00012704109853674527,9.999999696196864e-05
capacity_plus_12pct,779.0,0.15842251476616953,0.060844430199912584,0.00012363295165017935,0.7803847007624594,0.00012131897648854807,0.00010340234331977488
capacity_plus_12pct,780.0,0.158297420856275,0.060589080358648316,0.00010888868923547375,0.7807853942607665,0.00010830789497686251,0.00011090794009784447
capacity_plus_12pct,781.0,0.157898060037411,0.06061204917616496,0.00012092099092687568,0.7811482677605722,0.00011979067227610519,0.00010091136264898733
capacity_plus_12pct,782.0,0.15793097213718982,0.059588172775216004,0.00012662465168481238,0.7821312976116745,0.00012293340535574204,9.999941887902355e-05
capacity_plus_12pct,783.0,0.15749745165328555,0.06052388155710482,9.999951743949495e-05,0.7816570659472447,9.999951743949495e-05,0.00012160180748587812
capacity_plus_12pct,784.0,0.15757574843683217,0.060615118590453,9.999736295295404e-05,0.781475655603097,9.999736295295404e-05,0.00013348264371200704
capacity_plus_12pct,785.0,0.15746829743016263,0.06164480324234165,9.999969176347216e-05,0.780550992654997,9.999969176347216e-05,0.00013590728897185217
capacity_plus_12pct,786.0,0.15656372395573318,0.06067040223478652,0.00012172627221211286,0.7824114478106349,0.00011890506640619384,0.00011379466022715452
capacity_plus_12pct,787.0,0.15639379181789895,0.060515400653924495,0.00011537188644223868,0.7827460023305088,0.00011354978528094268,0.00011588352594444724
capacity_plus_12pct,788.0,0.15661886556728763,0.062089110261237396,0.0001185671358778033,0.7809398922651029,0.00011915531268067799,0.00011440945781366482
capacity_plus_12pct,789.0,0.15584708004310377,0.06085507242974248,0.00014447763571359833,0.7829123355300863,0.0001410348279145725,9.999953343922032e-05
capacity_plus_12pct,790.0,0.1554467735483448,0.05930879014525056,0.000119748187167006,0.784897722665455,0.00011722744201636022,0.0001097380117662392
capacity_plus_12pct,791.0,0.15519275214276304,0.05906665670277456,0.00012110363294386837,0.7853945077545154,0.00011856103211801554,0.00010641873488519147
capacity_plus_12pct,792.0,0.15536562695188544,0.058820694632470936,9.999915270840009e-05,0.7854902118814743,9.999915270840009e-05,0.00012346822875263004
capacity_plus_12pct,793.0,0.15526939011948573,0.05829809926861122,0.00010152171368835686,0.7861113624263609,0.00010079138955037163,0.00011883508230351319
capacity_plus_12pct,794.0,0.15534601289988687,0.0586125265017489,9.999708891799409e-05,0.785707569430886,9.999708891799409e-05,0.0001338969896423387
capacity_plus_12pct,795.0,0.1548501448692686,0.0598853385706513,9.999892128655953e-05,0.7849228183716099,9.999892128655953e-05,0.00014170034589708547
capacity_plus_12pct,796.0,0.1538673450213115,0.059040491348149066,0.00012119793520277132,0.7867329424782408,0.00011879271468477915,0.00011923050241123631
capacity_plus_12pct,797.0,0.15471391208241214,0.06009507535415455,9.999800319802455e-05,0.78484190528589,9.999800319802455e-05,0.00014911127114718733
capacity_plus_12pct,798.0,0.15477814759164604,0.05798390596565095,0.00010230110303583248,0.7868966340988632,9.999986796507662e-05,0.0001390113728388588
capacity_plus_12pct,799.0,0.15357403101498832,0.057726923670047676,0.00011828481649104565,0.7883432323963862,0.00011532277402173458,0.00012220532806507368
capacity_plus_12pct,800.0,0.15297453621868617,0.057691003438507346,0.00012366758269357906,0.7889736652025628,0.00012107835089531353,0.00011604920665468574
capacity_plus_12pct,801.0,0.15218353514188002,0.05814671472086559,0.00013766163449821324,0.7892900430487091,0.0001358920531546641,0.00010615340089230091
capacity_plus_12pct,802.0,0.15247533105592795,0.05739233839773066,0.00011739471290131591,0.7897832095335721,0.00011620607679714024,0.00011552022307081847
