time_s,experiment_T1_C,experiment_T2_C,experiment_T3_C,paper_simulation_T1_C,paper_simulation_T2_C,paper_simulation_T3_C,reference_C
802.0,53.914569742155955,54.80347934141037,56.11724137931034,54.12861136999068,54.93010251630941,56.21621621621622,55.00658589624107
803.0,54.082075178626916,54.84290152221187,56.043118981050014,54.12861136999068,54.93010251630941,56.21621621621622,55.0232991612302
804.0,54.24902143522833,54.835414725069896,55.932152842497665,54.12861136999068,54.93010251630941,56.226281453867664,55.01323392357875
805.0,54.0425598011805,54.78999689344517,55.86657347002174,54.12861136999068,54.93010251630941,56.22072072072072,55.00465983224604
806.0,53.96129232680956,54.81739670705188,55.9712954333644,54.110406958682816,54.93010251630941,56.21621621621622,55.00465983224604
807.0,53.96085740913327,54.85167753960857,56.402143522833185,54.10997204100652,55.079217148182664,56.25349487418453,55.00465983224604
808.0,54.0533084808947,54.92811432121778,56.45405405405405,54.10997204100652,55.079217148182664,56.238086362224294,55.012364088226164
809.0,54.219850885368125,55.08707673190432,56.38592730661696,54.10997204100652,55.079217148182664,56.21621621621622,55.0232991612302
810.0,54.24044734389562,55.214352283317794,56.14352283317802,54.10997204100652,55.079217148182664,56.21621621621622,54.99161230195713
811.0,54.26290773532153,55.208418763591176,56.140851196023604,54.10869835352594,55.079217148182664,56.250947499223365,55.00338614476546
812.0,54.331034482758625,55.1910531220876,56.39465672569121,54.09667598633116,55.036470953712325,56.21621621621622,54.991363777570676
813.0,54.380335507921714,55.1910531220876,56.40242311276794,54.10997204100652,54.955203479341414,56.21621621621622,55.01407269338304
814.0,54.40304442373408,55.218018018018014,56.12780366573471,54.10997204100652,55.01576058817438,56.21621621621622,55.0232991612302
815.0,54.39064926995962,55.210779745262506,56.01227089158124,54.10997204100652,55.07631769700735,56.26887232059646,55.0232991612302
816.0,54.29934762348555,55.132152842497675,56.02684063373719,54.10997204100652,54.95396085740913,56.21621621621622,55.0232991612302
817.0,54.29384902143523,55.0318732525629,56.03233923578751,54.10997204100652,55.02280211245728,56.22326809568189,55.01624728176453
818.0,54.247965206585896,54.881702392047224,56.08934451693073,54.1210935073004,54.93010251630941,56.223734078906496,55.00465983224604
819.0,54.21766076421249,54.874184529356945,56.3170549860205,54.11342031686859,54.9452935694315,56.21621621621622,55.00465983224604
820.0,54.18763591177384,54.85554520037279,56.336750543647106,54.10935073004038,54.98664181422802,56.21621621621622,55.00465983224604
821.0,54.28241689965828,54.86492699596148,56.010935073004035,54.091332712022364,55.00935073004039,56.220907114010565,55.00465983224604
822.0,54.305125815470646,55.015470643056865,55.86430568499534,54.108853681267476,55.01453867660764,56.22609506057782,55.00465983224604
823.0,54.34066480273376,55.192264678471574,55.811960236098166,54.12861136999068,54.99182976079528,56.24187635911774,55.00465983224604
824.0,54.284684684684684,55.226592109350726,55.78925132028581,54.12861136999068,55.00292016154085,56.21969555762659,55.00465983224604
825.0,54.27772600186393,55.12348555452004,55.94827586206897,54.12861136999068,55.00465983224604,56.234855545200375,55.00465983224604
826.0,54.29052500776639,55.15321528424976,56.04902143522833,54.12861136999068,55.00465983224604,56.234855545200375,55.00465983224604
827.0,54.28359739049394,54.990866728797755,56.08574091332712,54.12861136999068,55.00465983224604,56.24532463497981,55.00465983224604
828.0,54.02646784715751,54.82013047530289,56.08574091332712,54.12861136999068,55.00465983224604,56.22441752096925,55.00465983224604
829.0,53.96085740913327,54.81823547685617,56.04852438645542,54.11000310655483,55.00465983224604,56.21621621621622,55.00465983224604
830.0,53.95433364398882,54.957440198819505,56.05250077663871,54.10593351972662,55.00465983224604,56.234855545200375,55.00465983224604
831.0,54.127865796831315,55.23159366262815,56.067101584342964,54.11565703634669,54.99655172413793,56.234855545200375,55.00465983224604
832.0,54.30854302578441,55.24771668219944,56.274122398260346,54.13507300403852,54.986020503261884,56.222677850264056,55.00465983224604
833.0,54.31500465983225,55.163342652997834,56.43271202236719,54.11236408822616,54.986020503261884,56.21621621621622,55.00465983224604
834.0,54.27772600186393,55.13681267474371,56.44846225535881,54.10997204100652,55.00298229263747,56.234855545200375,55.00465983224604
835.0,54.28347312830071,55.07906182044113,56.24324324324324,54.1157191674433,54.991767629698664,56.223361292326814,55.00465983224604
836.0,54.345448897173036,55.02926374650513,56.04063373718546,54.12861136999068,55.00465983224604,56.19757688723206,55.00465983224604
837.0,54.37567567567567,54.968499534016765,56.303168685927325,54.12861136999068,55.00465983224604,56.21146318732526,55.00465983224604
838.0,54.35296675986331,54.875551413482455,56.41988195091643,54.11065548306927,55.00465983224604,56.21621621621622,55.00465983224604
839.0,53.994749922336126,54.84709537123331,56.360298229263755,54.15234544889717,54.98940664802734,56.21621621621622,55.00465983224604
