object_index,noise_seed,C_th_scale,K_cool_scale,K_node_scale,load_input_scale,coolant_offset_C,single_hotspot_rmse_C,single_mean_node_rmse_C,single_maximum_absolute_error_C,single_q95_absolute_error_C,single_hotspot_position_accuracy,bank_hotspot_rmse_C,bank_mean_node_rmse_C,bank_maximum_absolute_error_C,bank_q95_absolute_error_C,bank_hotspot_position_accuracy,hotspot_improvement_percent
7,2,0.9893072566408109,0.999612072335536,1.113438520909364,0.9121937099679065,-2.3506866492931255,0.5591867430435442,0.5582726815906357,1.295819993319462,1.1299554119211992,0.22950819672131148,0.09382443002759797,0.09598274388299217,0.25,0.17375380483147326,0.7704918032786885,83.2212706766026
7,3,0.9893072566408109,0.999612072335536,1.113438520909364,0.9121937099679065,-2.3506866492931255,0.5664324633787502,0.5677019481126993,1.3158287446237793,1.155742829105738,0.18032786885245902,0.08606728638052147,0.09179315705836907,0.25,0.17133213498341465,0.8360655737704918,84.80537540748759
7,4,0.9893072566408109,0.999612072335536,1.113438520909364,0.9121937099679065,-2.3506866492931255,0.5506129380894742,0.5525196340996051,1.2915493529582562,1.1235757908859627,0.19672131147540983,0.07752714482709812,0.07933974715904948,0.25,0.15512835750867854,0.8852459016393442,85.91984687172389
7,5,0.9893072566408109,0.999612072335536,1.113438520909364,0.9121937099679065,-2.3506866492931255,0.5648381368539568,0.5637043972535226,1.3129476382014644,1.162196865472052,0.2459016393442623,0.08742153218839985,0.08754735556856644,0.25,0.17769063435864468,0.8688524590163934,84.52272846247219
7,6,0.9893072566408109,0.999612072335536,1.113438520909364,0.9121937099679065,-2.3506866492931255,0.5569285611280835,0.5557825680070917,1.3126424828346686,1.1428795188193093,0.22950819672131148,0.08282939130126217,0.0814941243663307,0.25,0.17031446913743625,0.9016393442622951,85.12746569623086
7,7,0.9893072566408109,0.999612072335536,1.113438520909364,0.9121937099679065,-2.3506866492931255,0.5603357346007832,0.5635899506360484,1.3162817222166225,1.149182033716369,0.16393442622950818,0.08281900209686875,0.08998226510579867,0.25,0.17835898372028255,0.8852459016393442,85.21975362576617
7,8,0.9893072566408109,0.999612072335536,1.113438520909364,0.9121937099679065,-2.3506866492931255,0.5723754798048026,0.5718912300525271,1.3298463584835574,1.1589561448060295,0.18032786885245902,0.09371749408404981,0.09653428726156293,0.25,0.19050536242993846,0.8360655737704918,83.62657077553176
7,9,0.9893072566408109,0.999612072335536,1.113438520909364,0.9121937099679065,-2.3506866492931255,0.5511439085671925,0.5513670474160304,1.2621200261087964,1.108012430359304,0.19672131147540983,0.0704817756556506,0.07755037664109404,0.25,0.13646004204371281,0.8360655737704918,87.2117291763449
8,0,1.0518030246245762,1.102432605988625,1.1291817964197002,1.0821472447724005,0.893655890000133,0.10047331001821534,0.10482225177602568,0.2652521129338581,0.21458033056474055,0.9180327868852459,0.1000095993831586,0.10335821617569504,0.26436374733228973,0.2125233578831768,0.9180327868852459,0.461526185384623
8,1,1.0518030246245762,1.102432605988625,1.1291817964197002,1.0821472447724005,0.893655890000133,0.09643478543973888,0.10482100554352616,0.25593242702814933,0.21595308115926035,0.8688524590163934,0.09388058464639186,0.10237441168129191,0.2556143898739336,0.21373744426041127,0.8688524590163934,2.648630140773335
8,2,1.0518030246245762,1.102432605988625,1.1291817964197002,1.0821472447724005,0.893655890000133,0.09144745039161242,0.10104628575559946,0.25,0.18391277451327,0.9508196721311475,0.09606828384497211,0.0956720286129356,0.25,0.17453559851416003,0.9508196721311475,-5.0529932038253
8,3,1.0518030246245762,1.102432605988625,1.1291817964197002,1.0821472447724005,0.893655890000133,0.09641676037347509,0.11022306051541507,0.25,0.20451844613061357,0.8852459016393442,0.09536885145315302,0.10503314763923736,0.25,0.1871167584378057,0.9016393442622951,1.0868534850817864
8,4,1.0518030246245762,1.102432605988625,1.1291817964197002,1.0821472447724005,0.893655890000133,0.1159146136433263,0.12208483448098045,0.2597038197359183,0.22679373574541728,0.9344262295081968,0.11299247423398123,0.11783644508842994,0.2595087248363015,0.22385632570218664,0.9180327868852459,2.52094133560812
8,5,1.0518030246245762,1.102432605988625,1.1291817964197002,1.0821472447724005,0.893655890000133,0.0879067940275288,0.098452756133676,0.25,0.20531398311712223,0.9016393442622951,0.0880025850277922,0.0962832539885536,0.25,0.19445433806011042,0.9180327868852459,-0.10896882467741965
8,6,1.0518030246245762,1.102432605988625,1.1291817964197002,1.0821472447724005,0.893655890000133,0.09145645076855036,0.09512043906259447,0.25,0.18234650728208807,0.9180327868852459,0.0922001957273858,0.09010891217464967,0.25,0.16971030408915627,0.9016393442622951,-0.8132230723862749
8,7,1.0518030246245762,1.102432605988625,1.1291817964197002,1.0821472447724005,0.893655890000133,0.10444387509970639,0.10538622748005028,0.3216592793410342,0.22233919408656394,0.9180327868852459,0.10524767497806033,0.10262344996298203,0.32172130875225236,0.2201042070263725,0.9016393442622951,-0.769599823433015
8,8,1.0518030246245762,1.102432605988625,1.1291817964197002,1.0821472447724005,0.893655890000133,0.0902674662747807,0.0939501711831949,0.25,0.19978236793831886,0.9016393442622951,0.09075019443568091,0.08881164094349676,0.25,0.18077093932086827,0.9016393442622951,-0.5347753524295809
8,9,1.0518030246245762,1.102432605988625,1.1291817964197002,1.0821472447724005,0.893655890000133,0.08634828551520941,0.09373359874050247,0.25,0.1830724494804059,0.9180327868852459,0.08806452280949119,0.08843436864181123,0.25,0.17412786183105738,0.9180327868852459,-1.9875754151244571
9,0,0.9418852960522541,0.9892399499849205,1.1468879129477516,0.8818152319972092,4.872941035267197,0.167258842698891,0.2121193512466401,0.47479465016977684,0.3933012935327712,0.9344262295081968,0.1621694874818347,0.19716826690958664,0.401258050568444,0.3333980086750984,0.9180327868852459,3.042801884154149
9,1,0.9418852960522541,0.9892399499849205,1.1468879129477516,0.8818152319972092,4.872941035267197,0.16262493067540684,0.2032371929071719,0.44667880098730706,0.37608476333379603,0.9180327868852459,0.15848539198161124,0.18897337421234106,0.3813710757890192,0.32089587072957076,0.9180327868852459,2.5454514732786966
